Player_ID,Player_Name,Team_ID,Position_ID,Total_Points,Minutes_Played,Current_Price
11334,        Petr Cech,3,1,24,585,50
80201,        Bernd Leno,3,1,8,315,48
51507,        Laurent Koscielny,3,2,0,0,54
98745,        HÈctor BellerÌn,3,2,36,855,54
38411,        Nacho Monreal,3,2,30,630,55
156074,        Rob Holding,3,2,14,411,44
69140,        Shkodran Mustafi,3,2,29,900,54
111457,        Sead Kolasinac,3,2,0,0,49
233963,        Konstantinos Mavropanos,3,2,0,0,48
27335,        Stephan Lichtsteiner,3,2,3,160,46
39476,        Sokratis Papastathopoulos,3,2,5,488,51
37605,        Mesut ÷zil,3,3,43,656,84
41792,        Aaron Ramsey,3,3,33,520,74
153133,        Alex Iwobi,3,3,22,413,55
153256,        Mohamed Elneny,3,3,0,0,43
84450,        Granit Xhaka,3,3,32,834,53
57249,        Henrikh Mkhitaryan,3,3,22,442,68
200641,        Reiss Nelson,3,3,0,0,44
154043,        Ainsley Maitland-Niles,3,3,1,34,44
50175,        Danny Welbeck,3,4,18,137,65
59966,        Alexandre Lacazette,3,4,52,715,98
54694,        Pierre-Emerick Aubameyang,3,4,63,688,109
198849,        Lucas Torreira,3,3,22,614,49
242166,        Matteo Guendouzi,3,3,10,478,45
98980,        Emiliano MartÌnez,3,1,0,0,40
209289,        Emile Smith-Rowe,3,3,0,0,45
209037,        Zech Medley,3,2,0,0,40
40349,        Asmir Begovic,91,1,37,900,45
18726,        Artur Boruc,91,1,0,0,40
15149,        Simon Francis,91,2,26,552,44
56917,        Steve Cook,91,2,42,900,46
41320,        Charlie Daniels,91,2,14,360,42
54469,        Adam Smith,91,2,36,846,45
149484,        Tyrone Mings,91,2,0,0,43
126184,        Nathan AkÈ,91,2,41,900,50
222434,        Jack Simpson,91,2,0,0,39
20037,        Marc Pugh,91,3,0,0,43
15237,        Andrew Surman,91,3,9,357,47
56872,        Junior Stanislas,91,3,13,87,60
40387,        Dan Gosling,91,3,12,517,49
103912,        Jordon Ibe,91,3,3,49,51
155408,        Lewis Cook,91,3,15,365,48
90105,        Ryan Fraser,91,3,62,859,61
122342,        Emerson Hyndman,91,3,0,0,45
111317,        David Brooks,91,3,36,633,51
75115,        Callum Wilson,91,4,63,877,66
178304,        Lys Mousset,91,4,4,17,49
78007,        Joshua King,91,4,44,779,64
7958,        Jermain Defoe,91,4,3,14,57
171129,        Diego Rico,91,2,2,225,44
152551,        Jefferson Lerma,91,3,19,614,45
131897,        Mathew Ryan,36,1,45,900,45
83299,        Lewis Dunk,36,2,25,739,44
61933,        Shane Duffy,36,2,45,900,46
11352,        Bruno Saltor Grau,36,2,26,272,44
42748,        GaÎtan Bong,36,2,26,874,45
43808,        Markus Suttner,36,2,0,0,39
74375,        Ezequiel Schelotto,36,2,0,0,39
52484,        Leon Balogun,36,2,2,160,43
83543,        Anthony Knockaert,36,3,30,686,55
40845,        Dale Stephens,36,3,14,650,44
38490,        Beram Kayal,36,3,18,430,44
109345,        Solomon March,36,3,26,793,50
60307,        Pascal Groﬂ,36,3,11,217,67
66242,        Davy Prˆpper,36,3,16,692,48
167473,        JosÈ Heriberto Izquierdo Mena,36,3,11,185,59
20529,        Glenn Murray,36,4,47,752,65
38499,        Tomer Hemed,36,4,0,0,49
28462,        Sam Baldock,36,4,0,0,45
106757,        J¸rgen Locadia,36,4,9,207,53
93284,        Florin Andone,36,4,0,0,50
50093,        David Button,36,1,0,0,40
49262,        Jason Steele,36,1,0,0,40
209362,        Bernardo Fernandes da Silva Junior,36,2,1,112,42
227127,        Yves Bissouma,36,3,12,421,48
165210,        Alireza Jahanbakhsh,36,3,13,347,68
86153,        MartÌn Montoya,36,2,6,540,44
21205,        Tom Heaton,90,1,0,0,48
98747,        Nick Pope,90,1,0,0,49
68983,        Matthew Lowton,90,2,14,720,47
51927,        Ben Mee,90,2,24,900,48
40616,        Stephen Ward,90,2,7,228,47
17761,        James Tarkowski,90,2,30,836,49
41674,        Kevin Long,90,2,2,63,42
103914,        Charlie Taylor,90,2,15,720,44
17997,        Phil Bardsley,90,2,1,180,43
60586,        Johann Berg Gudmundsson,90,3,42,734,60
39847,        Steven Defour,90,3,4,164,54
83314,        Jeff Hendrick,90,3,18,540,54
90517,        Robbie Brady,90,3,1,90,54
60551,        Ashley Westwood,90,3,23,661,45
12813,        Jonathan Walters,90,3,0,0,48
40145,        Jack Cork,90,3,19,882,48
17349,        Aaron Lennon,90,3,29,788,50
40399,        Sam Vokes,90,4,28,535,53
44699,        Ashley Barnes,90,4,21,249,57
92383,        Nahki Wells,90,4,0,0,45
60689,        Chris Wood,90,4,14,433,62
39725,        Anders Lindegaard,90,1,0,0,44
15749,        Joe Hart,90,1,40,900,46
83312,        Ben Gibson,90,2,0,0,48
81183,        Matej Vydra,90,4,10,171,58
433154,        Dwight McNeil,90,3,1,79,45
48615,        Harry Arter,97,3,13,670,49
88734,        Neil Etheridge,97,1,38,900,46
45220,        Alex Smithies,97,1,0,0,43
49982,        Sean Morrison,97,2,23,900,48
19523,        Sol Bamba,97,2,28,810,45
49382,        Bruno Ecuele Manga,97,2,21,900,45
27698,        Matthew Connolly,97,2,0,0,39
56981,        Joe Bennett,97,2,22,720,45
38716,        Lee Peltier,97,2,0,140,38
73459,        Ashley Darel Jazz Richards,97,2,1,97,39
14927,        Greg Halford,97,2,0,0,40
104073,        Joe Ralls,97,3,13,675,47
49806,        David Junior Hoilett,97,3,17,593,51
76360,        Nathaniel Mendez-Laing,97,3,4,83,48
122797,        Callum Paterson,97,3,25,515,52
49845,        Aron Gunnarsson,97,3,3,148,44
40451,        Anthony Pilkington,97,3,0,0,44
54527,        LoÔc Damour,97,3,2,21,44
75826,        Danny Ward,97,3,15,305,45
114245,        Josh Murphy,97,3,27,543,48
82078,        Kenneth Zohore,97,4,8,258,47
114054,        Omar Bogle,97,4,0,0,45
45196,        Gary Madine,97,4,4,27,44
96994,        Bobby Reid,97,4,25,543,52
80792,        Greg Cunninghamm,97,2,0,180,42
175946,        VÌctor Camarasa,97,3,28,777,45
78911,        Kadeem Harris,97,3,8,36,45
10589,        Brian Murphy,97,1,0,0,40
60772,        Thibaut Courtois,8,1,0,0,55
20310,        Willy Caballero,8,1,0,0,48
41328,        CÈsar Azpilicueta,8,2,42,900,64
19419,        Gary Cahill,8,2,1,21,52
82263,        Marcos Alonso,8,2,72,900,70
41270,        David Luiz Moreira Marinho,8,2,40,900,55
49013,        Victor Moses,8,2,2,26,56
102380,        Antonio R¸diger,8,2,51,878,59
135363,        Andreas Christensen,8,2,0,0,50
105700,        Davide Zappacosta,8,2,1,6,51
109533,        Emerson Palmieri dos Santos,8,2,0,0,52
42786,        Eden Hazard,8,3,75,666,113
17878,        Cesc F‡bregas,8,3,1,12,63
47431,        Willian Borges Da Silva,8,3,44,640,74
49579,        Pedro RodrÌguez Ledesma,8,3,31,391,64
116594,        N'Golo KantÈ,8,3,31,900,49
88894,        Ross Barkley,8,3,44,388,58
61603,        Daniel Drinkwater,8,3,0,0,47
169102,        TiemouÈ Bakayoko,8,3,0,0,49
199598,        Ethan Ampadu,8,3,0,0,44
209046,        Callum Hudson-Odoi,8,3,0,0,42
126187,        Ruben Loftus-Cheek,8,3,10,93,52
44346,        Olivier Giroud,8,4,27,381,78
88482,        ¡lvaro Morata,8,4,26,511,87
85955,        Jorge Luiz Frello Filho,8,3,31,887,50
173879,        Tammy Abraham,8,4,0,0,54
109745,        Kepa Arrizabalaga,8,1,43,900,55
91651,        Mateo Kovacic,8,3,20,470,59
20066,        Wayne Hennessey,31,1,41,900,46
11554,        Julian Speroni,31,1,0,0,40
40836,        Vicente Guaita,31,1,0,0,43
49413,        James Tomkins,31,2,22,720,43
19188,        Scott Dann,31,2,0,0,44
58786,        Martin Kelly,31,2,2,180,39
86417,        Jeffrey Schlupp,31,2,21,506,45
74230,        Patrick van Aanholt,31,2,38,900,55
40784,        Mamadou Sakho,31,2,30,900,50
173954,        Jairo Riedewald,31,2,0,0,44
214590,        Aaron Wan-Bissaka,31,2,33,794,43
19197,        Jason Puncheon,31,3,1,2,43
50471,        James McArthur,31,3,21,826,48
44343,        Bakary Sako,31,3,0,0,50
60252,        Andros Townsend,31,3,22,866,57
66975,        Luka Milivojevic,31,3,33,900,61
82403,        Wilfried Zaha,31,4,36,810,69
54861,        Christian Benteke,31,4,8,325,63
143877,        Alexander S¯rloth,31,4,8,107,48
55037,        Cheikhou KouyatÈ,31,3,15,373,47
55494,        Joel Ward,31,2,2,101,43
185478,        Jaroslaw Jach,31,2,0,0,40
79228,        Pape SouarÈ,31,2,1,1,43
59125,        Connor Wickham,31,4,1,1,49
138009,        Sullay Kaikai,31,3,0,0,44
141020,        Max Meyer,31,3,10,202,56
80146,        Jordan Ayew,31,4,14,450,58
111234,        Jordan Pickford,11,1,46,900,49
10318,        Maarten Stekelenburg,11,1,0,0,40
12745,        Leighton Baines,11,2,5,284,52
59949,        Seamus Coleman,11,2,12,540,52
7645,        Phil Jagielka,11,2,-3,39,43
19159,        Ashley Williams,11,2,0,0,45
194164,        Mason Holgate,11,2,5,407,45
153673,        Jonjoe Kenny,11,2,13,360,43
106611,        Michael Keane,11,2,40,720,49
56192,        Cuco Martina,11,2,0,0,45
20467,        Theo Walcott,11,3,40,805,64
55452,        Yannick Bolasie,11,3,0,0,58
50472,        James McCarthy,11,3,0,0,44
